Date,TideType,TideTime,TideHeight (meters)
01/01/2024,High,02:41:00,3.52
01/01/2024,High,14:54:00,3.8
01/01/2024,Low,08:15:00,1.3
01/01/2024,Low,20:59:00,1.06
02/01/2024,High,03:26:00,3.43
02/01/2024,High,15:38:00,3.68
02/01/2024,Low,09:00:00,1.41
02/01/2024,Low,21:44:00,1.17
03/01/2024,High,04:15:00,3.34
03/01/2024,High,16:26:00,3.55
03/01/2024,Low,09:51:00,1.53
03/01/2024,Low,22:33:00,1.29
04/01/2024,High,05:09:00,3.27
04/01/2024,High,17:19:00,3.43
04/01/2024,Low,10:47:00,1.64
04/01/2024,Low,23:26:00,1.38
05/01/2024,High,06:10:00,3.25
05/01/2024,High,18:20:00,3.36
05/01/2024,Low,11:48:00,1.7
05/01/2024,Low,11:48:00,1.7
06/01/2024,High,07:12:00,3.3
06/01/2024,High,19:25:00,3.36
06/01/2024,Low,00:24:00,1.44
06/01/2024,Low,12:48:00,1.69
07/01/2024,High,08:08:00,3.4
07/01/2024,High,20:26:00,3.43
07/01/2024,Low,01:21:00,1.42
07/01/2024,Low,13:45:00,1.59
08/01/2024,High,08:58:00,3.56
08/01/2024,High,21:21:00,3.55
08/01/2024,Low,02:16:00,1.35
08/01/2024,Low,14:39:00,1.42
09/01/2024,High,09:44:00,3.73
09/01/2024,High,22:11:00,3.7
09/01/2024,Low,03:05:00,1.22
09/01/2024,Low,15:27:00,1.2
10/01/2024,High,10:27:00,3.91
10/01/2024,High,22:57:00,3.83
10/01/2024,Low,03:50:00,1.07
10/01/2024,Low,16:12:00,0.96
11/01/2024,High,11:09:00,4.08
11/01/2024,High,23:42:00,3.94
11/01/2024,Low,04:33:00,0.93
11/01/2024,Low,16:57:00,0.73
12/01/2024,High,11:52:00,4.21
12/01/2024,Low,05:15:00,0.81
12/01/2024,Low,17:42:00,0.55
12/01/2024,High,11:52:00,4.21
13/01/2024,High,00:27:00,3.99
13/01/2024,High,12:36:00,4.29
13/01/2024,Low,05:57:00,0.75
13/01/2024,Low,18:29:00,0.44
14/01/2024,High,01:13:00,3.99
14/01/2024,High,13:24:00,4.31
