Date,TideType,TideTime,TideHeight (meters)
2024-01-01,High,02:41:00,3.52
2024-01-01,High,14:54:00,3.8
2024-01-01,Low,08:15:00,1.3
2024-01-01,Low,20:59:00,1.06
2024-01-02,High,03:26:00,3.43
2024-01-02,High,15:38:00,3.68
2024-01-02,Low,09:00:00,1.41
2024-01-02,Low,21:44:00,1.17
2024-01-03,High,04:15:00,3.34
2024-01-03,High,16:26:00,3.55
2024-01-03,Low,09:51:00,1.53
2024-01-03,Low,22:33:00,1.29
2024-01-04,High,05:09:00,3.27
2024-01-04,High,17:19:00,3.43
2024-01-04,Low,10:47:00,1.64
2024-01-04,Low,23:26:00,1.38
2024-01-05,High,06:10:00,3.25
2024-01-05,High,18:20:00,3.36
2024-01-05,Low,11:48:00,1.7
2024-01-05,Low,11:48:00,1.7
2024-01-06,High,07:12:00,3.3
2024-01-06,High,19:25:00,3.36
2024-01-06,Low,00:24:00,1.44
2024-01-06,Low,12:48:00,1.69
2024-01-07,High,08:08:00,3.4
2024-01-07,High,20:26:00,3.43
2024-01-07,Low,01:21:00,1.42
2024-01-07,Low,13:45:00,1.59
2024-01-08,High,08:58:00,3.56
2024-01-08,High,21:21:00,3.55
2024-01-08,Low,02:16:00,1.35
2024-01-08,Low,14:39:00,1.42
2024-01-09,High,09:44:00,3.73
2024-01-09,High,22:11:00,3.7
2024-01-09,Low,03:05:00,1.22
2024-01-09,Low,15:27:00,1.2
2024-01-10,High,10:27:00,3.91
2024-01-10,High,22:57:00,3.83
2024-01-10,Low,03:50:00,1.07
2024-01-10,Low,16:12:00,0.96
2024-01-11,High,11:09:00,4.08
2024-01-11,High,23:42:00,3.94
2024-01-11,Low,04:33:00,0.93
2024-01-11,Low,16:57:00,0.73
2024-01-12,High,11:52:00,4.21
2024-01-12,Low,05:15:00,0.81
2024-01-12,Low,17:42:00,0.55
2024-01-12,High,11:52:00,4.21
2024-01-13,High,00:27:00,3.99
2024-01-13,High,12:36:00,4.29
2024-01-13,Low,05:57:00,0.75
2024-01-13,Low,18:29:00,0.44
